(-10.0, 100.0)
(-9.8, 96.04000000000002)
(-9.6, 92.16)
(-9.4, 88.36000000000001)
(-9.2, 84.63999999999999)
(-9.0, 81.0)
(-8.8, 77.44000000000001)
(-8.6, 73.96)
(-8.4, 70.56)
(-8.2, 67.24)
(-8.0, 64.0)
(-7.8, 60.839999999999996)
(-7.6, 57.76)
(-7.4, 54.760000000000005)
(-7.2, 51.84)
(-7.0, 49.0)
(-6.8, 46.239999999999995)
(-6.6, 43.559999999999995)
(-6.4, 40.96000000000001)
(-6.2, 38.440000000000005)
(-6.0, 36.0)
(-5.8, 33.64)
(-5.6, 31.359999999999996)
(-5.4, 29.160000000000004)
(-5.2, 27.040000000000003)
(-5.0, 25.0)
(-4.8, 23.04)
(-4.6, 21.159999999999997)
(-4.4, 19.360000000000003)
(-4.2, 17.64)
(-4.0, 16.0)
(-3.8, 14.44)
(-3.5999999999999996, 12.959999999999997)
(-3.4000000000000004, 11.560000000000002)
(-3.2, 10.240000000000002)
(-3.0, 9.0)
(-2.8, 7.839999999999999)
(-2.5999999999999996, 6.759999999999998)
(-2.4000000000000004, 5.760000000000002)
(-2.2, 4.840000000000001)
(-2.0, 4.0)
(-1.8000000000000007, 3.2400000000000024)
(-1.5999999999999996, 2.5599999999999987)
(-1.4000000000000004, 1.960000000000001)
(-1.1999999999999993, 1.4399999999999984)
(-1.0, 1.0)
(-0.8000000000000007, 0.6400000000000011)
(-0.5999999999999996, 0.3599999999999996)
(-0.40000000000000036, 0.16000000000000028)
(-0.1999999999999993, 0.039999999999999716)
(0.0, 0.0)
(0.1999999999999993, 0.039999999999999716)
(0.40000000000000036, 0.16000000000000028)
(0.5999999999999996, 0.3599999999999996)
(0.8000000000000007, 0.6400000000000011)
(1.0, 1.0)
(1.1999999999999993, 1.4399999999999984)
(1.4000000000000004, 1.960000000000001)
(1.5999999999999996, 2.5599999999999987)
(1.8000000000000007, 3.2400000000000024)
(2.0, 4.0)
(2.1999999999999993, 4.839999999999997)
(2.4000000000000004, 5.760000000000002)
(2.5999999999999996, 6.759999999999998)
(2.8000000000000007, 7.840000000000004)
(3.0, 9.0)
(3.1999999999999993, 10.239999999999995)
(3.4000000000000004, 11.560000000000002)
(3.5999999999999996, 12.959999999999997)
(3.8000000000000007, 14.440000000000005)
(4.0, 16.0)
(4.199999999999999, 17.639999999999993)
(4.4, 19.360000000000003)
(4.6, 21.159999999999997)
(4.800000000000001, 23.040000000000006)
(5.0, 25.0)
(5.199999999999999, 27.039999999999992)
(5.4, 29.160000000000004)
(5.6, 31.359999999999996)
(5.800000000000001, 33.64000000000001)
(6.0, 36.0)
(6.199999999999999, 38.43999999999999)
(6.399999999999999, 40.95999999999998)
(6.600000000000001, 43.56000000000002)
(6.800000000000001, 46.24000000000001)
(7.0, 49.0)
(7.199999999999999, 51.83999999999999)
(7.399999999999999, 54.75999999999998)
(7.600000000000001, 57.76000000000002)
(7.800000000000001, 60.84000000000001)
(8.0, 64.0)
(8.2, 67.24)
(8.399999999999999, 70.55999999999997)
(8.600000000000001, 73.96000000000002)
(8.8, 77.44000000000001)
(9.0, 81.0)
(9.2, 84.63999999999999)
(9.399999999999999, 88.35999999999997)
(9.600000000000001, 92.16000000000003)
(9.8, 96.04000000000002)
(10.0, 100.0)
